0,1,2,3,4,5
주식회사아주프라텍,"연봉4,000만원~4,200만원",경력3년,플라스틱압출성형기조작(공장장),등록일:2025-07-04,마감일:2025-09-03
엠플러스에프엔씨(주),"연봉4,000만원이상",경력10년,엠플러스에프엔씨(주)의류공장장직원채용공고,등록일:2025-07-04,마감일:2025-07-14
"주식회사피앤엘(PNLCo.,Ltd)","연봉2,520만원~3,500만원",경력무관,생산관리및공정관리자모집,등록일:2025-07-04,마감일:2025-07-20
동부건설(주),"연봉5,500만원이상",경력3년,토목공사시공,등록일:2025-07-07,마감일:2025-09-06
(주)KD엔지니어링,"연봉3,000만원이상",경력무관,가스시공관리자모집,등록일:2025-07-07,마감일:2025-07-27
주식회사티에스도어,"연봉4,500만원~5,500만원",경력5년,"공장장/생산부장-시스템창호,시스템도어,폴딩도어,중문생산경력우...",등록일:2025-07-07,마감일:2025-08-05
경복대학교,"연봉2,600만원~3,400만원",경력1년,경복대학교사무국총무시설담당(정규직/계약직)채용공고,등록일:2025-07-07,마감일:2025-07-13
(주)썬터치,"연봉3,000만원~4,800만원",경력무관,제조생산관리자모집,등록일:2025-07-07,마감일:2025-09-04
주식회사대금개발,"연봉3,000만원~4,000만원",경력2년,사무관리자,등록일:2025-07-07,마감일:2025-09-06
글로벌JMT,상여별도200%,경력무관,[안성정규직/설비경력인정/사내기숙사무료]최고복지/제조/3...,등록일:2025-07-07,마감일:2025-09-05
㈜이너콘,"연봉4,500만원~4,500만원",신입/경력,사세확장으로인한토목직경력3년이상및신입사원대규모채...,등록일:2025-07-07,마감일:2025-07-20
㈜알제이디,"연봉4,000만원~6,000만원",신입/경력,[알제이디/로아앤제인]아동의류디자이너/온라인MD/해외사업팀/생...,등록일:2025-07-07,마감일:2025-08-06
엘앤피자동차코리아유한책임회사,"연봉3,300만원~3,400만원",경력3년,[외국계자동차부품사]설계팀경력직기간제채용,등록일:2025-07-10,마감일:2025-09-09
프라임건설(주),"연봉7,000만원이상",경력3년,본사건축공무구합니다.,등록일:2025-07-10,마감일:2025-08-07
(주)흙손,"연봉6,000만원이상",경력20년,사무/현장관리(공장장)모집합니다,등록일:2025-07-10,마감일:2025-09-09
(유)현대토건개발,"연봉5,000만원이상",경력1년,건설품질관리자및공무겸직,등록일:2025-07-10,마감일:2025-07-25
(주)극동,"연봉3,600만원이상",경력무관,생산업무관리자구인합니다.,등록일:2025-07-10,마감일:2025-07-25
