"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-006","광나루4주차장","7760","380269","2025/01"
"PLT-004","이촌3주차장","17982","1690942","2025/01"
"PLT-005","뚝섬3주차장","10418","1142165","2025/01"
"PLT-008","여의도4주차장","3416","1077729","2025/01"
"PLT-004","이촌1주차장","3796","331759","2025/01"
"PLT-005","뚝섬4주차장","14481","1470869","2025/01"
"PLT-008","여의도3주차장","32554","7853483","2025/01"
"PLT-002","난지1,2,3주차장","33789","1229469","2025/01"
"PLT-011","잠실1주차장","36871","1192053","2025/01"
"PLT-004","이촌2주차장","5432","570424","2025/01"
"PLT-008","여의도2주차장","24281","3574376","2025/01"
"PLT-006","광나루3주차장","7562","478835","2025/01"
"PLT-011","잠실4주차장","37475","1556617","2025/01"
"PLT-005","뚝섬1주차장","3990","284824","2025/01"
"PLT-008","여의도5주차장","7929","1885526","2025/01"
"PLT-007","양화3주차장","12364","878340","2025/01"
"PLT-001","강서1주차장","4121","209481","2025/01"
"PLT-003","망원2,3주차장","21795","1565450","2025/01"
"PLT-008","여의도1주차장","36527","5765594","2025/01"
"PLT-003","망원1주차장","6542","695917","2025/01"
"PLT-010","잠원2-6주차장","39511","4110658","2025/01"
"PLT-006","광나루1,2주차장","9136","873743","2025/01"
"PLT-008","여의도4주차장","4725","1322574","2024/12"
"PLT-006","광나루4주차장","6795","386771","2024/12"
"PLT-007","양화3주차장","12515","965590","2024/12"
"PLT-011","잠실4주차장","39820","1720027","2024/12"
"PLT-010","잠원1주차장","8272","752427","2024/12"
"PLT-009","반포1주차장","15168","537139","2024/12"
"PLT-006","광나루1,2주차장","11009","1068041","2024/12"
"PLT-004","이촌2주차장","6410","662879","2024/12"
"PLT-007","양화1주차장","6060","741308","2024/12"
"PLT-010","잠원2-6주차장","41669","4347518","2024/12"
"PLT-003","망원2,3주차장","21139","1641913","2024/12"
"PLT-003","망원1주차장","6754","771645","2024/12"
"PLT-002","난지1,2,3주차장","39552","1594730","2024/12"
"PLT-009","반포2,3주차장","53480","5379454","2024/12"
"PLT-008","여의도1주차장","39855","6899498","2024/12"
"PLT-008","여의도3주차장","37940","9334986","2024/12"
"PLT-008","여의도2주차장","33170","4372335","2024/12"
"PLT-011","잠실1주차장","41547","1310796","2024/12"
"PLT-005","뚝섬2주차장","12776","1693585","2024/12"
"PLT-005","뚝섬3주차장","8283","831759","2024/12"
"PLT-004","이촌3주차장","19224","1754720","2024/12"
"PLT-001","강서1주차장","4128","230601","2024/12"
"PLT-005","뚝섬1주차장","3992","308302","2024/12"
"PLT-006","광나루3주차장","11285","959466","2024/12"
"PLT-005","뚝섬4주차장","14998","1588451","2024/12"
"PLT-007","양화2주차장","1185","124554","2024/12"
"PLT-004","이촌1주차장","3938","349499","2024/12"
"PLT-008","여의도5주차장","8534","2124345","2024/12"
"PLT-001","강서1주차장","5591","378520","2024/11"
"PLT-004","이촌1주차장","5327","350505","2024/11"
"PLT-004","이촌2주차장","7311","721168","2024/11"
"PLT-006","광나루1,2주차장","16429","1607517","2024/11"
"PLT-005","뚝섬1주차장","5950","470624","2024/11"
"PLT-005","뚝섬2주차장","17404","2169106","2024/11"
"PLT-008","여의도4주차장","4103","1252670","2024/11"
"PLT-008","여의도5주차장","9330","2283461","2024/11"
"PLT-010","잠원2-6주차장","48751","5163029","2024/11"
"PLT-009","반포1주차장","20338","939196","2024/11"
"PLT-007","양화3주차장","20177","1806431","2024/11"
"PLT-010","잠원1주차장","11554","1059489","2024/11"
"PLT-011","잠실4주차장","49580","3027272","2024/11"
"PLT-008","여의도3주차장","37261","9024730","2024/11"
"PLT-002","난지1,2,3주차장","51883","2948268","2024/11"
"PLT-005","뚝섬4주차장","17859","1872986","2024/11"
"PLT-005","뚝섬3주차장","10201","1081357","2024/11"
"PLT-003","망원1주차장","9027","966568","2024/11"
"PLT-006","광나루4주차장","7956","418286","2024/11"
"PLT-009","반포2,3주차장","66276","5768836","2024/11"
"PLT-003","망원2,3주차장","28351","2293518","2024/11"
"PLT-004","이촌3주차장","25965","2426277","2024/11"
