출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 15:20,2019-10-01 01:00,111527,111546,M,30,WE,570,2254,2.37
2019-09-30 15:20,2019-10-01 01:20,110283,111764,M,65,EH,595,8977,4.06
2019-09-30 15:20,2019-10-01 01:20,110431,110518,F,65,EH,594,4644,4.69
2019-09-30 15:20,2019-10-01 02:00,111384,341495,M,25,EH,649,97416,2.26
2019-09-30 15:20,2019-10-01 03:20,111197,371845,M,45,WE,729,229695,3.19
2019-09-30 15:20,2019-10-01 04:40,111453,320879,M,45,EE,799,80420,3.21
2019-09-30 15:20,2019-10-01 05:00,111801,341548,M,25,EE,822,121900,2.27
2019-09-30 15:20,2019-10-01 05:40,110903,230027,M,40,EE,851,46298,3.01
2019-09-30 15:20,2019-10-01 06:00,310719,110093,M,60,WE,880,63398,3.51
2019-09-30 15:20,2019-10-01 06:40,111030,313054,M,50,EE,916,59523,3.30
2019-09-30 15:20,2019-10-01 08:00,111037,390155,M,40,EW,981,451933,2.96
2019-09-30 15:20,2019-10-01 08:20,210438,111534,M,35,EE,1020,322313,2.74
2019-09-30 15:20,2019-10-01 08:20,340337,110917,M,65,EH,1032,121812,4.06
2019-09-30 15:20,2019-10-01 08:40,110190,320065,M,20,EE,1054,73204,2.65
2019-09-30 15:20,2019-10-01 09:20,111284,390179,F,50,EE,1084,444953,3.14
2019-09-30 15:20,2019-10-01 09:20,320507,111749,F,40,EH,1067,152449,3.43
2019-09-30 15:20,2019-10-01 09:20,330576,111141,M,30,EW,1079,144760,2.37
2019-09-30 15:20,2019-10-01 09:20,371077,110888,M,70,EW,1080,155108,4.63
2019-09-30 15:20,2019-10-01 10:20,111261,250343,M,30,WE,1131,133731,2.37
2019-09-30 15:20,2019-10-01 11:20,110541,371097,M,70,EE,1195,153489,4.65
2019-09-30 15:20,2019-10-01 12:20,110912,250254,F,30,EE,1261,137676,2.42
2019-09-30 15:20,2019-10-01 12:40,330773,111187,M,45,EW,1287,127822,3.17
2019-09-30 15:20,2019-10-01 13:00,110957,340116,M,55,EE,1296,81579,3.31
2019-09-30 15:20,2019-10-01 13:00,340114,110733,F,45,EE,1312,88754,3.33
2019-09-30 15:20,2019-10-01 13:40,110727,320243,M,35,EE,1334,95706,2.73
2019-09-30 15:20,2019-10-01 15:20,111595,250397,M,35,EE,1440,130032,2.68
