거래일,아파트,전용면적,층,건축년도,거래금액,주소
2018-01-16,상계주공7(고층),49.94,11.0,1988-01-01,44000,서울특별시 노원구
2018-01-16,상계주공3(고층),58.01,12.0,1987-01-01,43000,서울특별시 노원구
2018-01-16,상계주공2(고층),59.2,2.0,1987-01-01,31000,서울특별시 노원구
2018-01-16,상계주공14(고층),90.94,4.0,1989-01-01,50300,서울특별시 노원구
2018-01-16,상계주공11(고층),60.5,10.0,1988-01-01,35500,서울특별시 노원구
2018-01-16,은빛2단지,59.95,7.0,1998-01-01,32500,서울특별시 노원구
2018-01-16,은빛2단지,59.95,11.0,1998-01-01,31000,서울특별시 노원구
2018-01-16,은빛1단지,59.95,2.0,1998-01-01,29700,서울특별시 노원구
2018-01-16,은빛1단지,49.77,9.0,1998-01-01,26300,서울특별시 노원구
2018-01-16,상계불암대림,59.22,15.0,2000-01-01,33500,서울특별시 노원구
2018-01-16,보람2단지,68.99,8.0,1988-01-01,36800,서울특별시 노원구
2018-01-16,보람2단지,79.25,5.0,1988-01-01,40200,서울특별시 노원구
2018-01-17,대동황토방,84.97,3.0,2001-01-01,39300,서울특별시 노원구
2018-01-17,한신2차,45.92,8.0,1988-01-01,20000,서울특별시 노원구
2018-01-17,상계주공7(고층),49.94,12.0,1988-01-01,43000,서울특별시 노원구
2018-01-17,상계주공5(저층),31.98,2.0,1987-01-01,32900,서울특별시 노원구
2018-01-17,상계주공4(고층),84.2,5.0,1988-01-01,48000,서울특별시 노원구
2018-01-17,상계주공13(고층),58.01,15.0,1989-01-01,29000,서울특별시 노원구
2018-01-17,은빛1단지,59.95,9.0,1998-01-01,32000,서울특별시 노원구
2018-01-18,미도,87.57,12.0,1988-01-01,45850,서울특별시 노원구
2018-01-18,노원IPARK,139.28,4.0,2009-01-01,52000,서울특별시 노원구
2018-01-18,수락리버시티3단지,84.81,13.0,2009-01-01,38000,서울특별시 노원구
2018-01-18,상계주공9(고층),49.94,5.0,1988-01-01,32750,서울특별시 노원구
2018-01-18,상계주공7(고층),45.9,6.0,1988-01-01,36000,서울특별시 노원구
2018-01-18,상계주공6(고층),58.01,9.0,1988-01-01,42000,서울특별시 노원구
2018-01-18,상계주공6(고층),58.01,3.0,1988-01-01,40500,서울특별시 노원구
2018-01-18,상계주공5(저층),31.98,2.0,1987-01-01,33900,서울특별시 노원구
2018-01-18,상계주공3(고층),59.28,2.0,1987-01-01,40000,서울특별시 노원구
2018-01-18,상계주공3(고층),59.39,8.0,1987-01-01,43700,서울특별시 노원구
2018-01-18,상계주공2(고층),58.01,11.0,1987-01-01,40400,서울특별시 노원구
2018-01-18,상계주공16(고층),59.39,1.0,1988-01-01,30000,서울특별시 노원구
2018-01-18,상계주공14(고층),45.9,6.0,1989-01-01,23500,서울특별시 노원구
2018-01-18,상계주공14(고층),45.55,14.0,1989-01-01,23700,서울특별시 노원구
2018-01-18,상계주공12(고층),49.94,13.0,1988-01-01,31000,서울특별시 노원구
2018-01-18,상계불암대림,84.96,1.0,2000-01-01,38000,서울특별시 노원구
2018-01-18,상계불암대림,59.22,16.0,2000-01-01,32800,서울특별시 노원구
2018-01-19,벽산,75.03,5.0,1989-01-01,34700,서울특별시 노원구
2018-01-19,중계센트럴파크,84.53,12.0,2016-01-01,52300,서울특별시 노원구
2018-01-19,보람1단지,54.59,11.0,1988-01-01,28800,서울특별시 노원구
2018-01-19,청암2단지,59.96,2.0,2001-01-01,29000,서울특별시 노원구
2018-01-19,양우,79.4198,2.0,2002-01-01,41000,서울특별시 노원구
2018-01-19,상계주공7(고층),41.3,7.0,1988-01-01,30000,서울특별시 노원구
2018-01-19,상계주공7(고층),49.94,2.0,1988-01-01,39000,서울특별시 노원구
2018-01-19,상계주공6(고층),49.94,11.0,1988-01-01,36000,서울특별시 노원구
2018-01-19,상계주공5(저층),31.98,3.0,1987-01-01,33700,서울특별시 노원구
2018-01-19,상계주공5(저층),31.98,5.0,1987-01-01,32500,서울특별시 노원구
2018-01-19,상계주공3(고층),75.2,8.0,1987-01-01,56000,서울특별시 노원구
2018-01-19,상계주공2(고층),58.01,3.0,1987-01-01,40900,서울특별시 노원구
2018-01-19,상계주공2(고층),58.01,10.0,1987-01-01,41000,서울특별시 노원구
2018-01-19,상계주공2(고층),58.01,10.0,1987-01-01,42000,서울특별시 노원구
2018-01-19,상계주공11(고층),59.39,12.0,1988-01-01,35900,서울특별시 노원구
2018-01-19,상계주공11(고층),41.3,8.0,1988-01-01,30000,서울특별시 노원구
2018-01-19,상계주공11(고층),41.3,10.0,1988-01-01,29700,서울특별시 노원구
2018-01-19,상계주공10(고층),49.94,15.0,1988-01-01,34800,서울특별시 노원구
2018-01-19,상계주공10(고층),61.52,15.0,1988-01-01,39000,서울특별시 노원구
2018-01-19,상계2차중앙하이츠,59.82,20.0,1998-01-01,34500,서울특별시 노원구
2018-01-20,벽산,43.35,12.0,1989-01-01,21500,서울특별시 노원구
2018-01-20,수락리버시티3단지,84.81,4.0,2009-01-01,38000,서울특별시 노원구
2018-01-20,우림루미아트1,84.726,10.0,2004-01-01,45350,서울특별시 노원구
2018-01-20,보람1단지,44.33,5.0,1988-01-01,24950,서울특별시 노원구
2018-01-20,보람1단지,44.33,12.0,1988-01-01,24400,서울특별시 노원구
2018-01-20,보람1단지,44.33,12.0,1988-01-01,24500,서울특별시 노원구
2018-01-20,청암2단지,49.77,9.0,2001-01-01,26000,서울특별시 노원구
2018-01-20,상계주공5(저층),31.98,2.0,1987-01-01,33900,서울특별시 노원구
2018-01-20,상계주공5(저층),31.98,3.0,1987-01-01,33250,서울특별시 노원구
2018-01-20,상계주공4(고층),32.39,10.0,1988-01-01,22100,서울특별시 노원구
2018-01-20,상계주공3(고층),58.01,10.0,1987-01-01,42800,서울특별시 노원구
